"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista KawePale Panama Palmarito Geisha 200g","Jasno palona arabika specialty najlepszej odmiany Geisha, przeznaczona do przelewowych metod parzenia. KawePale Panama Palmarito Geisha to mocno owocowa kawa z nutami nektarynek, melona, brzoskwini i karmelu.",119,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Melon Nektarynka Brzoskwinie Karmel",0.6,0.2,0.6,1," Panama"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.595,"Luxury (> 0.2)",0
"Kawa ziarnista COFFEE PLANT Gwatemala Amapolas 1kg","Średnio palona arabika jakości Specialty z Gwatemali przeznaczona do ekspresów i kawiarek. Gwatemala Amapolas ma słodki smak z wyczuwalną nuta mlecznej czekolady, zielonego jabłka i cytryny.",139,"COFFEE PLANT",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Zielone jabłko Cytryna",0.6,0.2,0.6,1," Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.139,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista COFFEE PLANT Gwatemala Amapolas 250g","Średnio palona arabika jakości Specialty z Gwatemali przeznaczona do ekspresów i kawiarek. Gwatemala Amapolas ma słodki smak z wyczuwalną nuta mlecznej czekolady, zielonego jabłka i cytryny.",39,"COFFEE PLANT",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Zielone jabłko Cytryna",0.6,0.2,0.6,1," Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.156,"Premium (0.1 - 0.2)",8.66025403784439
"Kawa ziarnista Kafar Klasyczny Blend 80/20 250g","Kafar Klasyczny Blend 80/20 to wyjątkowa mieszanka brazylijskiej arabiki 80% oraz ugandyjskiej robusty 20%, które zostały wypalone w stopniu średnim do ekspresów i kawiarek. Kawa ma orzechowo-czekoladowy posmak i średnią zawartość kofeiny.",35,"KAFAR",5,2," 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy laskowe Mleczna czekolada Owoce cytrusowe",0.6,0.2,0.2,1," Brazylia Uganda"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.14,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Kafar Klasyczny Blend 80/20 1kg","Kafar Klasyczny Blend 80/20 to unikalna mieszanka brazylijskiej arabiki 80% oraz ugandyjskiej robusty 20%, które zostały wypalone w stopniu średnim do ekspresów i kawiarek. Kawa ma średnią zawartość kofeiny.",119,"KAFAR",5,1," 80% Arabika, 20% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy laskowe Mleczna czekolada Owoce cytrusowe",0.6,0.2,0.2,1," Brazylia Uganda"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.119,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Kafar Kolumbia Tolima Decaf bezkofeinowa 250g","Kafar Kolumbia Tolima Decaf to kawa bezkofeinowa przeznaczona do ekspresów i kawiarek. Jest to słodka kawa o bogatym smaku i aromacie, doskonała na każdą porę dnia.",55,"KAFAR",0,0," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Wiśnia Czerwone jabłko Cukier trzcinowy",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Kafar Gwatemala El Llano Washed 250g","Kafar Gwatemala El Llano Washed to doskonała propozycja na codzienny przelew. Jasno palona arabika Specialty z Gwatemali ma posmak przypominający nuty orzechów, wanilii i owoców leśnych.",51,"KAFAR",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Orzechy Wanilia Owoce leśne",0.6,0.2,0.2,1," Gwatemala"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.204,"Luxury (> 0.2)",5
"Kawa ziarnista Kafar Uganda Miwu Washed 250g","Kafar Uganda Miwu Washed to jasno palona arabika specialty przeznaczona do przelewowych metod parzenia. Jest to owocowa, rześka kawa o nutach maliny, truskawki i karmelu.",59,"KAFAR",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Truskawki Karmel",0.6,0.2,0.6,1," Uganda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista Kafar Peru Elvis Tieno Washed 250g","Jasno palona arabica Specialty z Peru, która jest przeznaczona do alternatyw. Kafar Peru Elvis Tieno Washed ma mocną kwasowość z nutami wiśni, czekolady oraz syropu klonowego.",55,"KAFAR",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Wiśnia Czekolada Syrop klonowy",0.6,0.2,1,1," Peru"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Kafar Papua-Nowa Gwinea Baroinda Honey 250g","Kafar Papua-Nowa Gwinea Baroinda Honey to arabika Single Origin jakości Specialty z Kolumbii, przeznaczona do przelewowych metod parzenia. Jest to słodka kawa o zrównoważonej kwasowości.",59,"KAFAR",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Cukier muscovado Suszona śliwka Czerwone jabłko",0.6,0.2,0.2,1," Papua-Nowa Gwinea"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista Kafar Kolumbia El Recreo Natural 250g","Jasno palona arabika Single Origin specialty z Kiolumbi przeznaczona do przelewowych metod parzenia. Kafar Kolumbia El Recreo Natural ma średnią, soczystą kwasowość i owocową słodycz.",64,"KAFAR",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Rodzynki Wiśnia Gorzka czekolada",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.256,"Luxury (> 0.2)",0
"Kawa ziarnista Kafar Kenia Malkia Filtr 250g","Arabika Specialty z Kenii wypalona w sposób jasny do przelewowych metod parzenia. Kafar Kenia Malkia odkrywa przed nami średnią kwasowość oraz nuty maliny, czerwonego jabłka i lukrecji.",65,"KAFAR",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Czerwone jabłko Lukrecja",0.6,0.2,0.6,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",5
"Kawa ziarnista Kafar Indonezja Java Ijen Filtr 250g","Jasno palona arabika Specialty Single Origin z Indonezji, która jest przeznaczona do przelewowych metod parzenia. Jest to przyjemnie kwasowa kawa o nutach owoców leśnych, agrestu czy herbaty.",59,"KAFAR",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czarna herbata Agrest Owoce leśne",0.6,0.2,0.6,1," Indonezja"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista Salvatti Umuseke Jasno Palona 250g","Jasno palona arabika Single Origin z Rwandy przeznaczona do przelewowych metod parzenia. Salvatti Umuseke ma słodki smak z wyczuwalna nuta kwiatów, gruszki i suszonych owoców.",52,"SALVATTI",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Kwiaty Gruszka Suszone owoce",0.6,0.2,0.2,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.208,"Luxury (> 0.2)",5
"Kawa ziarnista Momento Rwanda Summer Epresso ZZZZZ 1kg","Średnio palona arabika specialty przeznaczona do ekspresów i kawiarek. Momento Rwanda Summer Epresso ZZZZZ ma posmak mlecznej czekolady, moreli i agrestu.",149,"MOMENTO COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Morela Agrest",0.6,0.2,0.6,1," Rwanda"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.149,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Kafar Brazylia Santa Clara Natural Filtr 250g","Domyślną nazwę, opis jak i inne parametry dodawanego produktu zmienisz udając się na stronę TOWARY \ Ustawienia nowo dodawanego produktu.",55,"KAFAR",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Pomarańcze Owoce tropikalne Brązowy cukier",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",5
"Kawa ziarnista Świeżo Palona Wakacyjne Espresso Mexico Oaxaca Sierra Mazateca Washed 1kg","Kawa jakości specialty z Meksyku przeznaczona do ekspresów i kawiarek. Świeżo Palona Wakacyjne Espresso Mexico Oaxaca Sierra Mazateca Washed ma posmak orzechów, czerwonych owoców i czekolady. Doskonała do tonic espresso.",146,"ŚWIEŻO PALONA",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Orzechy Maliny Truskawki Jeżyny Porzeczka Limonka Mleczna czekolada",0.6,0.2,0.6,1," Meksyk"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.146,"Premium (0.1 - 0.2)",0
"Kawa ziarnista PIXEL Rwanda Nyamasheke Kilimbi Washing Station Honey 250g","PIXEL Rwanda Nyamasheke Kilimbi Washing Station Honey to jasno palona arabika specialty przeznaczona do przelewowych metod parzenia. Aromatyczna i przyjemnie orzeźwiająca.",59,"PIXEL COFFEE ROASTERS",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Mandarynka Melon Miód wrzosowy",0.6,0.2,0.2,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista Momento Coffee Kolumbia Nº9 La Joyería Washed 250g","Jasno palona kolumbijska arabika jakości Specialty przeznaczona pod przelew. Momento Coffee Kolumbia Nº9 ma słodki smak z wyczuwalną nuta mirabelki i czarnej herbaty.",59,"MOMENTO COFFEE",5,3," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Mirabelka Czarna herbata",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",8.66025403784439
"Kawa ziarnista Momento Coffee Rwanda Nº5 Musasa Ruli Washed 250g","Jasno palona arabika jakości Specialty z Rwandy przeznaczona do przelewowych metod parzenia. Momento Coffee Rwanda Nº5 ma słodki smak z wyczuwalną nutą żurawiny i melasy.",59,"MOMENTO COFFEE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Żurawina Melasa",0.6,0.2,0.6,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",5
"Kawa ziarnista Momento Coffee Brazylia Nº9 Fazenda Cachoeira da Grama Natural 250g","Jasno palona brazylijska arabika jakości Specialty przeznaczona do przelewowych metod parzenia. Momento Coffee Brazylia Nº6 ma słodki smak z wyczuwalną nutą grejpfruta i toffi.",52,"MOMENTO COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Toffi Grejpfrut",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.208,"Luxury (> 0.2)",0
"Kawa ziarnista COFFEE PLANT Kostaryka Chirripó Anaerobic 250g","COFFEE PLANT Kostaryka Chirripó Anaerobic jest przeznaczona do przelewów i została poddana obróbce fermentacji beztlenowej, która nadała jej unikalnego charakteru. W tej bogatej w smak kawie znajdziemy nuty alkoholu, kokosu, czekolady i kardamonu.",69,"COFFEE PLANT",4.5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czekolada Kardamon Słodkie wino Kokos",1,0.2,0.2,1," Kostaryka"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.276,"Luxury (> 0.2)",6.36396103067893
"Kawa ziarnista COFFEE PLANT Kolumbia Nariño Decaf Bezkofeinowa 250g","COFFEE PLANT Kolumbia Nariño Decaf to jasno palona arabika specialty BEZKOFEINOWA, przeznaczona do przelewowych metod parzenia. Kawa ma bogaty smak z nutami śliwki, czekolady oraz kwiatów.",55,"COFFEE PLANT",0,0," 100% Arabika"," Jasny"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czekolada Śliwka Kwiaty",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Kofikada Ethiopia Biftu Gudina 250g","Jasno palona arabika specialty z Etiopii przeznaczona do przelewowych metod parzenia. Kofikada Ethiopia Biftu Gudina to kawa o owocowo-kwiatowych nutach, która doskonale smakuje również jako cold brew.",59,"KOFIKADA",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Herbata Earl Grey Brzoskwinie Jaśmin",0.6,0.2,0.6,1," Etiopia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",5
"Kawa ziarnista Miga Costa Rica Espresso 200g","Średnio palona arabika specialty przeznaczona do ekspresów i kawiarek. Miga Costa Rica Espresso to wysokiej jakości kawa z Kostaryki, w której odnajdziemy nuty ciemnej czekolady i śliwki.",58,"MIGA COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 200g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Śliwka Ciemna czekolada",0.6,0.2,0.6,0.6," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",200,0.29,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Costa Rica Sonora Omniroast 200g","Wysokiej jakości jednorodna arabika Specialty z Kostaryki przeznaczona do przelewowych i ciśnieniowych metod parzenia. Miga Costa Rica Sonora ma słodki smak z nutami nektarynki, śliwki i suszonych owoców.",58,"MIGA COFFEE",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny Ekspres kolbowy Ekspres automatyczny"," Delikatna"," Śliwka Nektarynka Suszone owoce",0.6,0.2,0.6,1," Kostaryka"," Single / Jednorodne"," Kawa czarna Cappuccino Espresso Latte"," Tak",200,0.29,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Indonesia Java Kayumas Filter 200g","Jasno palona arabika specialty z Indonezji przeznaczona do przelewowych metod parzenia. W kawie Miga Indonesia Java Kayumas wyczujemy nuty brzoskwini, śliwki, kardamonu i czekolady.",57,"MIGA COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Śliwka Nektarynka Kardamon Czekolada",0.6,0.2,0.6,1," Indonezja"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.285,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Colombia Condor Decaf Filter 200g","Miga Colombia Condor Decaf to jkawa bezkofeinowa przeznaczona do przelewowych metod parzenia. Jest to arabika Single Origin z Kolumbii, która jest doskonałym wyborem nie tylko dla tych, którzy unikają kofeiny, ale nie chcą rezygnować ze smaku kawy.",53,"MIGA COFFEE",0,0," 100% Arabika"," Jasny"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Rabarbar Wiśnia",0.6,0.2,1,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Nie",200,0.265,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Brazil Haroldo de Almeida Filter 200g","Jasno palona arabika specialty przeznaczona do alternatywnych metod parzenia o ciekawym profilu smakowym. Miga Brazil Haroldo de Almeida to kawa Specialty, w której znajdziemy nuty czerwonych owoców, karmelu i likieru.",55,"MIGA COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czerwone owoce Likier Karmel",0.6,0.2,0.6,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.275,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Colombia Black Condor Filter 200g","Jasno palona arabika specialty z Kolumbii przeznaczona do przelewowych metod parzenia. Miga Colombia Black Condor ma nuty miodu, pomarańczy i migdałów.",64,"MIGA COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Prażone migdały Miód Pomarańcze",0.6,0.2,1,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.32,"Luxury (> 0.2)",0
"Kawa ziarnista Miga Costa Rica Hacinda Sonora Filter 200g","Wysokiej jakości jednorodna arabika Specialty z Kostaryki przeznaczona do przelewowych metod parzenia. Miga Costa Rica Sonora ma słodki smak, z nutami nektarynki, śliwki i suszonych owoców.",58,"MIGA COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Śliwka Nektarynka Suszone owoce",0.6,0.2,0.6,1," Kostaryka"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.29,"Luxury (> 0.2)",0
"Kawa ziarnista Coffeelab Boliwia Asocafe 250g","Jasno palona boliwijska arabika Single Origin przeznaczona do przelewowych metod parzenia. Boliwia Asocafe to kawa o średniej kwasowości, w której możemy wyczuć nuty cytryny, czarnej herbaty i czekolady.",65,"COFFEELAB",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Cytryna Czarna herbata Czekolada",0.6,0.2,0.6,1," Boliwia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",0
"Kawa ziarnista Coffeelab Etiopia Konga Natural 250g","Jasno palona arabika Single Origin przeznaczona do przelewowych metod parzenia. Etiopia Konga Natural to kawa o średniej kwasowości, w której możemy wyczuć nuty czarnej herbaty, skórki pomarańczy i jabłka.",65,"COFFEELAB",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czarna herbata Skórka pomarańczy Jabłko",0.6,0.2,0.6,1," Etiopia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",0
